#{"t_start": 1711605831.8616843, "env_id": "drl-nav-v0"}
r,l,t
-5.037382,96,12859.361018
9.367191,171,12896.185884
-6.0664,431,12950.649561
-119.296497,262,12992.41985
1.126923,174,13015.216426
2.076614,53,13028.385525
-32.874717,186,13064.231893
8.234056,296,13101.230416
6.985594,133,13126.23376
8.785525,161,13147.742898
12.310552,396,13197.765337
10.380629,203,13219.757919
12.624251,283,13261.892262
6.627317,128,13282.34483
10.051494,316,13330.76109
-25.77901,177,13349.808083
-37.049644,283,13381.141351
-2.512417,320,13428.190391
-0.944318,513,13497.859036
-5.925299,387,13555.624805
-71.800836,81,13567.25085
13.096285,245,13603.96522
13.152098,231,13641.261644
11.840173,230,13674.047312
-0.018072,8,13676.780892
-239.506473,256,13717.125943
-219.554203,194,13743.427528
-50.096711,235,13777.285558
11.422717,213,13810.747234
-123.720842,484,13871.656018
-19.243534,267,13919.170469
-13.394243,464,13975.05091
11.090839,211,14010.559812
13.681364,325,14058.606
-5.275601,335,14095.564885
9.69719,266,14134.189623
9.156185,190,14158.442467
14.358812,259,14201.364889
11.899352,237,14227.581165
11.832068,222,14251.408805
11.247979,251,14284.446003
10.303067,220,14307.948044
-40.686947,513,14377.981782
-3.158466,235,14414.73038
-146.171656,490,14475.696744
-20.926758,275,14513.384393
-43.84679,250,14549.498212
-17.528527,66,14557.522427
2.90102,228,14586.50348
-83.739572,415,14647.353413
5.448599,181,14676.458314
-7.361573,165,14698.704922
13.679527,455,14767.310398
8.909973,224,14793.721505
-85.95794,513,14862.183416
-171.957452,318,14915.197895
8.400205,161,14942.263916
-19.239206,156,14964.831173
-43.405678,407,15026.370202
-90.745767,459,15083.006997
10.041104,224,15117.065983
-84.88161,157,15136.103168
3.046402,65,15149.69172
14.818445,274,15195.751725
7.506365,261,15226.139681
0.333682,253,15259.391486
14.250972,245,15289.684716
8.828022,168,15310.300302
15.456403,487,15378.367758
-158.153387,513,15441.55341
-460.781612,470,15511.465082
-198.05228,513,15580.120522
10.706984,397,15644.045626
14.005189,265,15682.534657
3.532481,72,15691.007009
13.03633,253,15728.096189
9.611811,177,15758.980449
-24.163833,246,15791.118156
-29.439698,350,15839.312155
3.198422,197,15864.398731
13.683294,256,15902.978466
0.370538,513,15973.098941
-99.237546,355,16018.678587
-36.473943,284,16058.73987
7.188984,264,16085.818907
-195.095835,513,16152.827963
-53.686549,303,16203.220113
13.416023,277,16240.830864
-7.19905,255,16277.611048
-25.96589,191,16296.578904
-42.719482,225,16332.34596
-60.486083,313,16372.745455
12.671421,242,16415.68443
3.970607,513,16479.956428
13.31637,239,16513.47155
10.510585,200,16548.62513
-86.265079,232,16577.845018
-60.22726,513,16651.335491
3.518364,476,16716.838574
0.290983,45,16728.702467
-14.225595,302,16776.525316
-23.952227,250,16805.012465
3.421932,513,16870.909227
10.372851,214,16907.618993
-63.90815,513,16972.672832
-1.330234,132,16991.795312
-10.844934,165,17015.288478
-34.265744,513,17084.718027
-56.036187,513,17162.61404
-455.748254,513,17230.0181
10.081077,481,17300.552642
1.684325,115,17321.097959
0.569784,49,17340.464548
-25.091616,513,17413.694394
-11.129854,371,17462.47392
-39.645313,75,17472.759519
-22.251206,238,17514.609568
-88.690934,513,17592.823869
-7.00989,513,17661.241821
12.288269,429,17721.748432
4.750831,426,17786.51318
-116.909264,513,17857.573796
-56.84805,513,17929.206141
-113.696267,513,17997.671255
-49.000038,267,18032.10158
-0.186515,120,18047.221454
-14.583741,26,18055.800073
14.43448,258,18094.147166
9.316134,178,18114.492969
-118.337554,307,18165.074268
-15.565626,205,18192.051603
4.455499,182,18227.930365
8.051609,217,18249.893446
6.905478,513,18321.688438
-41.763459,256,18364.33367
-0.328311,43,18373.991534
-5.486522,258,18401.441484
9.238147,513,18460.99363
-92.08685,513,18522.018261
15.05616,338,18563.725067
6.351319,513,18622.498869
-37.019973,61,18634.974501
-81.2812,336,18683.594081
5.784427,306,18719.681516
-219.734499,513,18783.468935
1.407272,39,18793.217069
-15.653058,402,18845.745851
-3.476264,513,18907.542056
-264.852058,482,18968.203201
-59.302853,513,19029.456586
4.969732,254,19060.705469
0.671045,35,19077.532095
4.43846,513,19144.437156
-118.971125,513,19209.637675
3.524478,101,19225.379256
-66.562965,199,19250.712435
4.542841,397,19303.087063
